,time,proto,sip,sport,dip,dport,from,to,subject
63,2017-11-11 11:24:01,smtp,10.64.105.67,2587,10.5.71.60,25,1405@hightech.com,7c3a92641923b3c108ea4cf2fdc171c7@sohu.com,关于平台的一些介绍
70,2017-11-11 12:02:48,smtp,118.192.64.194,41010,10.5.71.60,25,aaabf0d39951f3e6c3e8a7911df524c2@mail7.lietou-edm.com,1154@hightech.com,【销售经理/总监_成都】玉玉_来自猎聘网的候选人
71,2017-11-11 12:07:14,smtp,13.107.42.11,4273,10.5.71.60,25,wujia@hotmail.com,1487@hightech.com,[职位推送]系统为您匹配了高薪职位，请登录查看！
75,2017-11-11 12:16:53,smtp,113.108.216.17,3854,10.5.71.60,25,liqiu@sina.com,1487@hightech.com,有7位HR查看了您的简历
86,2017-11-11 13:04:17,smtp,183.61.185.93,4478,10.5.71.60,25,lucy@21cn.com,1376@hightech.com,【电话面试邀请函】
104,2017-11-11 15:45:42,smtp,220.181.90.34,3831,10.5.71.60,25,erdongsheng@sohu.com,1487@hightech.com,您的简历尚未被查看
109,2017-11-11 16:10:13,smtp,118.192.64.194,38761,10.5.71.60,25,aaabf0d39951f3e6c3e8a7911df524c2@mail7.lietou-edm.com,1101@hightech.com,【销售经理/总监_长沙】王坤_来自猎聘网的候选人
111,2017-11-11 16:25:27,smtp,118.192.64.194,39412,10.5.71.60,25,aaabf0d39951f3e6c3e8a7911df524c2@mail7.lietou-edm.com,1119@hightech.com,【招聘经理/高级经理_北京】崔振宇_来自猎聘网的候选人
118,2017-11-11 17:55:12,smtp,10.64.105.78,3076,10.5.71.60,25,1343@hightech.com,526af9914a81f22a86f0c92671b6babb@foxmail.com,关于平台的一些介绍
121,2017-11-11 18:50:24,smtp,14.17.32.47,3058,10.5.71.60,25,a96ceb041c037f5bd6432ea5414b4f1e@foxmail.com,1067@hightech.com,介绍
