,time,proto,sip,sport,dip,dport,from,to,subject
12,2017-11-26 09:37:16,smtp,10.64.105.235,1925,10.5.71.60,25,1498@hightech.com,1041@hightech.com;1368@hightech.com;1347@hightech.com;1255@hightech.com;1248@hightech.com;1327@hightech.com;1439@hightech.com;1137@hightech.com;1370@hightech.com;1467@hightech.com;1226@hightech.com;1369@hightech.com;1186@hightech.com;1213@hightech.com;1451@hightech.com;1124@hightech.com;1431@hightech.com;1293@hightech.com;1253@hightech.com;1342@hightech.com;1108@hightech.com;1180@hightech.com;1346@hightech.com,财务分析
21,2017-11-26 09:42:54,smtp,10.64.105.89,2364,10.5.71.60,25,1041@hightech.com,de3b0a7d917c3c836cb7700cba7338df@qq.com,财务
28,2017-11-26 09:53:04,smtp,10.64.105.231,2558,10.5.71.60,25,1213@hightech.com,1041@hightech.com;1368@hightech.com;1347@hightech.com;1255@hightech.com;1248@hightech.com;1327@hightech.com;1439@hightech.com;1137@hightech.com;1370@hightech.com;1467@hightech.com;1226@hightech.com;1369@hightech.com;1186@hightech.com;1451@hightech.com;1124@hightech.com;1431@hightech.com;1293@hightech.com;1253@hightech.com;1342@hightech.com;1498@hightech.com;1108@hightech.com;1180@hightech.com;1346@hightech.com,会计核算
29,2017-11-26 09:53:06,smtp,10.116.216.72,1773,10.5.71.60,25,ti@hightech.net,1060@hightech.com,互联网资产监控报警
31,2017-11-26 09:53:15,smtp,10.64.105.205,1549,10.5.71.60,25,1255@hightech.com,1041@hightech.com;1368@hightech.com;1347@hightech.com;1248@hightech.com;1327@hightech.com;1439@hightech.com;1137@hightech.com;1370@hightech.com;1467@hightech.com;1226@hightech.com;1369@hightech.com;1186@hightech.com;1213@hightech.com;1451@hightech.com;1124@hightech.com;1431@hightech.com;1293@hightech.com;1253@hightech.com;1342@hightech.com;1498@hightech.com;1108@hightech.com;1180@hightech.com;1346@hightech.com,税务
34,2017-11-26 09:54:44,smtp,10.116.216.72,1948,10.5.71.60,25,ti@hightech.net,1060@hightech.com,互联网资产监控报警
39,2017-11-26 09:57:48,smtp,10.64.105.90,1917,10.5.71.60,25,1226@hightech.com,1367@hightech.com,财务报账
44,2017-11-26 10:08:07,smtp,10.64.105.22,1784,10.5.71.60,25,1439@hightech.com,1324@hightech.com,财务报账
45,2017-11-26 10:11:25,smtp,10.116.216.72,1551,10.5.71.60,25,ti@hightech.net,1060@hightech.com,互联网资产监控报警
46,2017-11-26 10:11:49,smtp,10.116.216.72,2259,10.5.71.60,25,ti@hightech.net,1060@hightech.com,互联网资产监控报警
50,2017-11-26 10:17:10,smtp,10.64.105.231,2534,10.5.71.60,25,1213@hightech.com,1041@hightech.com;1368@hightech.com;1347@hightech.com;1255@hightech.com;1248@hightech.com;1327@hightech.com;1439@hightech.com;1137@hightech.com;1370@hightech.com;1467@hightech.com;1226@hightech.com;1369@hightech.com;1186@hightech.com;1451@hightech.com;1124@hightech.com;1431@hightech.com;1293@hightech.com;1253@hightech.com;1342@hightech.com;1498@hightech.com;1108@hightech.com;1180@hightech.com;1346@hightech.com,资金
52,2017-11-26 10:21:22,smtp,10.64.105.90,1925,10.5.71.60,25,1226@hightech.com,1041@hightech.com;1368@hightech.com;1347@hightech.com;1255@hightech.com;1248@hightech.com;1327@hightech.com;1439@hightech.com;1137@hightech.com;1370@hightech.com;1467@hightech.com;1369@hightech.com;1186@hightech.com;1213@hightech.com;1451@hightech.com;1124@hightech.com;1431@hightech.com;1293@hightech.com;1253@hightech.com;1342@hightech.com;1498@hightech.com;1108@hightech.com;1180@hightech.com;1346@hightech.com,会计核算
54,2017-11-26 10:27:08,smtp,10.64.105.248,2477,10.5.71.60,25,1293@hightech.com,1363@hightech.com,财务报账
59,2017-11-26 10:31:18,smtp,10.116.216.72,2507,10.5.71.60,25,ti@hightech.net,1060@hightech.com,互联网资产监控报警
60,2017-11-26 10:31:50,smtp,10.64.106.30,1678,10.5.71.60,25,1137@hightech.com,1041@hightech.com;1368@hightech.com;1347@hightech.com;1255@hightech.com;1248@hightech.com;1327@hightech.com;1439@hightech.com;1370@hightech.com;1467@hightech.com;1226@hightech.com;1369@hightech.com;1186@hightech.com;1213@hightech.com;1451@hightech.com;1124@hightech.com;1431@hightech.com;1293@hightech.com;1253@hightech.com;1342@hightech.com;1498@hightech.com;1108@hightech.com;1180@hightech.com;1346@hightech.com,会计核算
68,2017-11-26 10:39:13,smtp,10.116.216.72,1939,10.5.71.60,25,ti@hightech.net,1060@hightech.com,互联网资产监控报警
72,2017-11-26 10:40:20,smtp,10.116.216.72,2018,10.5.71.60,25,ti@hightech.net,1060@hightech.com,互联网资产监控报警
73,2017-11-26 10:40:59,smtp,10.116.216.72,1827,10.5.71.60,25,ti@hightech.net,1060@hightech.com,互联网资产监控报警
81,2017-11-26 10:47:53,smtp,10.64.105.248,2471,10.5.71.60,25,1293@hightech.com,1354@hightech.com,财务报账
82,2017-11-26 10:47:55,smtp,10.64.105.90,1897,10.5.71.60,25,1226@hightech.com,1395@hightech.com,财务报账
84,2017-11-26 10:49:01,smtp,10.116.216.72,2268,10.5.71.60,25,ti@hightech.net,1060@hightech.com,互联网资产监控报警
