,time,proto,sip,sport,dip,dport,from,to,subject
27,2017-11-02 09:22:32,smtp,10.64.105.88,1799,10.5.71.60,25,1368@hightech.com,68ab14ea32ed45c948218b8b0a2aaabc@sina.com,财务
36,2017-11-02 09:27:05,smtp,10.64.105.81,2653,10.5.71.60,25,1327@hightech.com,1041@hightech.com;1368@hightech.com;1347@hightech.com;1255@hightech.com;1248@hightech.com;1439@hightech.com;1137@hightech.com;1370@hightech.com;1467@hightech.com;1226@hightech.com;1369@hightech.com;1186@hightech.com;1213@hightech.com;1451@hightech.com;1124@hightech.com;1431@hightech.com;1293@hightech.com;1253@hightech.com;1342@hightech.com;1498@hightech.com;1108@hightech.com;1180@hightech.com;1346@hightech.com,资金
37,2017-11-02 09:27:15,smtp,10.64.105.22,2600,10.5.71.60,25,1439@hightech.com,1149@hightech.com,财务报账
41,2017-11-02 09:30:09,smtp,10.64.106.16,2146,10.5.71.60,25,1347@hightech.com,1041@hightech.com;1368@hightech.com;1255@hightech.com;1248@hightech.com;1327@hightech.com;1439@hightech.com;1137@hightech.com;1370@hightech.com;1467@hightech.com;1226@hightech.com;1369@hightech.com;1186@hightech.com;1213@hightech.com;1451@hightech.com;1124@hightech.com;1431@hightech.com;1293@hightech.com;1253@hightech.com;1342@hightech.com;1498@hightech.com;1108@hightech.com;1180@hightech.com;1346@hightech.com,会计核算
46,2017-11-02 09:32:44,smtp,10.116.216.72,2428,10.5.71.60,25,ti@hightech.net,1060@hightech.com,互联网资产监控报警
49,2017-11-02 09:34:50,smtp,10.116.216.72,2672,10.5.71.60,25,ti@hightech.net,1060@hightech.com,互联网资产监控报警
54,2017-11-02 09:38:13,smtp,10.64.106.30,2604,10.5.71.60,25,1137@hightech.com,1041@hightech.com;1368@hightech.com;1347@hightech.com;1255@hightech.com;1248@hightech.com;1327@hightech.com;1439@hightech.com;1370@hightech.com;1467@hightech.com;1226@hightech.com;1369@hightech.com;1186@hightech.com;1213@hightech.com;1451@hightech.com;1124@hightech.com;1431@hightech.com;1293@hightech.com;1253@hightech.com;1342@hightech.com;1498@hightech.com;1108@hightech.com;1180@hightech.com;1346@hightech.com,会计核算
64,2017-11-02 09:40:17,smtp,10.116.216.72,2141,10.5.71.60,25,ti@hightech.net,1060@hightech.com,互联网资产监控报警
66,2017-11-02 09:42:27,smtp,10.64.105.15,2390,10.5.71.60,25,1253@hightech.com,1359@hightech.com,财务报账
68,2017-11-02 09:44:02,smtp,10.116.216.72,1952,10.5.71.60,25,ti@hightech.net,1060@hightech.com,互联网资产监控报警
74,2017-11-02 09:45:09,smtp,10.116.216.72,2177,10.5.71.60,25,ti@hightech.net,1060@hightech.com,互联网资产监控报警
88,2017-11-02 09:52:02,smtp,10.116.216.72,1923,10.5.71.60,25,ti@hightech.net,1060@hightech.com,互联网资产监控报警
97,2017-11-02 09:57:39,smtp,10.64.105.205,1889,10.5.71.60,25,1255@hightech.com,1041@hightech.com;1368@hightech.com;1347@hightech.com;1248@hightech.com;1327@hightech.com;1439@hightech.com;1137@hightech.com;1370@hightech.com;1467@hightech.com;1226@hightech.com;1369@hightech.com;1186@hightech.com;1213@hightech.com;1451@hightech.com;1124@hightech.com;1431@hightech.com;1293@hightech.com;1253@hightech.com;1342@hightech.com;1498@hightech.com;1108@hightech.com;1180@hightech.com;1346@hightech.com,会计核算
98,2017-11-02 09:57:47,smtp,10.116.216.72,2625,10.5.71.60,25,ti@hightech.net,1060@hightech.com,互联网资产监控报警
102,2017-11-02 09:58:54,smtp,10.64.106.16,2173,10.5.71.60,25,1347@hightech.com,1041@hightech.com;1368@hightech.com;1255@hightech.com;1248@hightech.com;1327@hightech.com;1439@hightech.com;1137@hightech.com;1370@hightech.com;1467@hightech.com;1226@hightech.com;1369@hightech.com;1186@hightech.com;1213@hightech.com;1451@hightech.com;1124@hightech.com;1431@hightech.com;1293@hightech.com;1253@hightech.com;1342@hightech.com;1498@hightech.com;1108@hightech.com;1180@hightech.com;1346@hightech.com,资金
104,2017-11-02 09:59:14,smtp,10.116.216.72,2124,10.5.71.60,25,ti@hightech.net,1060@hightech.com,互联网资产监控报警
111,2017-11-02 10:09:10,smtp,10.116.216.72,2676,10.5.71.60,25,ti@hightech.net,1060@hightech.com,互联网资产监控报警
119,2017-11-02 10:13:31,smtp,10.64.105.81,2646,10.5.71.60,25,1327@hightech.com,1041@hightech.com;1368@hightech.com;1347@hightech.com;1255@hightech.com;1248@hightech.com;1439@hightech.com;1137@hightech.com;1370@hightech.com;1467@hightech.com;1226@hightech.com;1369@hightech.com;1186@hightech.com;1213@hightech.com;1451@hightech.com;1124@hightech.com;1431@hightech.com;1293@hightech.com;1253@hightech.com;1342@hightech.com;1498@hightech.com;1108@hightech.com;1180@hightech.com;1346@hightech.com,资金
134,2017-11-02 10:20:25,smtp,10.64.106.25,1933,10.5.71.60,25,1296@hightech.com,1255@hightech.com,财务报账
139,2017-11-02 10:21:01,smtp,10.116.216.72,2401,10.5.71.60,25,ti@hightech.net,1060@hightech.com,互联网资产监控报警
144,2017-11-02 10:21:26,smtp,10.116.216.72,2063,10.5.71.60,25,ti@hightech.net,1060@hightech.com,互联网资产监控报警
156,2017-11-02 10:23:14,smtp,10.116.216.72,2302,10.5.71.60,25,ti@hightech.net,1060@hightech.com,互联网资产监控报警
158,2017-11-02 10:23:25,smtp,10.64.105.198,1989,10.5.71.60,25,1467@hightech.com,1283@hightech.com,财务报账
162,2017-11-02 10:23:54,smtp,10.116.216.72,2057,10.5.71.60,25,ti@hightech.net,1060@hightech.com,互联网资产监控报警
