time,proto,sip,sport,dip,dport,from,to,subject
2017-11-21 03:00:00,smtp,10.1.4.17,49197,10.5.71.60,25,fuli@hightech.com,1230@hightech.com,生日快乐！！！送京东卡福利
2017-11-21 03:00:00,smtp,10.1.4.17,49195,10.5.71.60,25,kaoqin@hightech.com,1058@hightech.com,迟到
2017-11-21 03:00:00,smtp,10.1.4.17,49193,10.5.71.60,25,kaoqin@hightech.com,1207@hightech.com,迟到
2017-11-21 03:00:00,smtp,10.1.4.17,49216,10.5.71.60,25,kaoqin@hightech.com,1469@hightech.com,迟到
2017-11-21 03:00:00,smtp,10.1.4.17,49238,10.5.71.60,25,kaoqin@hightech.com,1126@hightech.com,迟到
2017-11-21 03:00:00,smtp,10.1.4.17,49208,10.5.71.60,25,kaoqin@hightech.com,1103@hightech.com,迟到
2017-11-21 03:00:00,smtp,10.1.4.17,49194,10.5.71.60,25,kaoqin@hightech.com,1142@hightech.com,迟到
2017-11-21 03:00:00,smtp,10.1.4.17,49220,10.5.71.60,25,kaoqin@hightech.com,1382@hightech.com,迟到
2017-11-21 03:00:00,smtp,10.1.4.17,49204,10.5.71.60,25,kaoqin@hightech.com,1461@hightech.com,迟到
2017-11-21 03:00:00,smtp,10.1.4.17,49229,10.5.71.60,25,kaoqin@hightech.com,1068@hightech.com,迟到
2017-11-21 03:00:00,smtp,10.1.4.17,49250,10.5.71.60,25,kaoqin@hightech.com,1195@hightech.com,迟到
2017-11-21 03:00:00,smtp,10.1.4.17,49214,10.5.71.60,25,kaoqin@hightech.com,1169@hightech.com,迟到
2017-11-21 03:00:00,smtp,10.1.4.17,49179,10.5.71.60,25,kaoqin@hightech.com,1397@hightech.com,迟到
2017-11-21 03:00:00,smtp,10.1.4.17,49203,10.5.71.60,25,kaoqin@hightech.com,1466@hightech.com,迟到
2017-11-21 03:00:00,smtp,10.1.4.17,49162,10.5.71.60,25,kaoqin@hightech.com,1348@hightech.com,迟到
2017-11-21 03:00:00,smtp,10.1.4.17,49171,10.5.71.60,25,kaoqin@hightech.com,1007@hightech.com,迟到
2017-11-21 03:00:00,smtp,10.1.4.17,49218,10.5.71.60,25,kaoqin@hightech.com,1238@hightech.com,迟到
2017-11-21 04:00:00,smtp,10.1.4.17,49192,10.5.71.60,25,kaoqin@hightech.com,1193@hightech.com,迟到
2017-11-21 04:00:00,smtp,10.1.4.17,49204,10.5.71.60,25,kaoqin@hightech.com,1041@hightech.com,旷工
2017-11-21 04:00:00,smtp,10.1.4.17,49173,10.5.71.60,25,kaoqin@hightech.com,1183@hightech.com,迟到
2017-11-21 04:00:00,smtp,10.1.4.17,49224,10.5.71.60,25,kaoqin@hightech.com,1104@hightech.com,旷工
2017-11-21 04:00:00,smtp,10.1.4.17,49210,10.5.71.60,25,kaoqin@hightech.com,1369@hightech.com,迟到
2017-11-21 04:00:00,smtp,10.1.4.17,49220,10.5.71.60,25,kaoqin@hightech.com,1401@hightech.com,迟到
2017-11-21 04:00:00,smtp,10.1.4.17,49201,10.5.71.60,25,kaoqin@hightech.com,1191@hightech.com,迟到
2017-11-21 04:00:00,smtp,10.1.4.17,49236,10.5.71.60,25,kaoqin@hightech.com,1307@hightech.com,迟到
2017-11-21 04:00:00,smtp,10.1.4.17,49180,10.5.71.60,25,kaoqin@hightech.com,1435@hightech.com,旷工
2017-11-21 04:00:00,smtp,10.1.4.17,49215,10.5.71.60,25,kaoqin@hightech.com,1067@hightech.com,旷工
2017-11-21 04:00:00,smtp,10.1.4.17,49180,10.5.71.60,25,kaoqin@hightech.com,1096@hightech.com,旷工
2017-11-21 04:00:00,smtp,10.1.4.17,49210,10.5.71.60,25,kaoqin@hightech.com,1241@hightech.com,迟到
2017-11-21 04:00:00,smtp,10.1.4.17,49176,10.5.71.60,25,kaoqin@hightech.com,1119@hightech.com,旷工
2017-11-21 04:00:00,smtp,10.1.4.17,49211,10.5.71.60,25,kaoqin@hightech.com,1300@hightech.com,早退
2017-11-21 09:02:45,smtp,10.1.4.17,44216,10.5.71.60,25,it@hightech.com,1388@hightech.com,资源申请
2017-11-21 09:20:23,smtp,10.116.216.72,2335,10.5.71.60,25,ti@hightech.net,1060@hightech.com,互联网资产监控报警
2017-11-21 09:21:47,smtp,10.64.105.83,2291,10.5.71.60,25,1431@hightech.com,1041@hightech.com,工作汇报
2017-11-21 09:21:51,smtp,10.116.216.71,2442,10.5.71.60,25,work@hightech.com,1092@hightech.com,[ALARM:1581]HOST_5XXe4e3b3557b6e0d38ae32a5408bdd3d67
2017-11-21 09:22:19,smtp,10.116.216.71,2222,10.5.71.60,25,work@hightech.com,1087@hightech.com,[ALARM:1087]HOST_5XXf62204d5e5a86209501ded33025cabdf
2017-11-21 09:23:08,smtp,10.116.216.71,2361,10.5.71.60,25,work@hightech.com,1092@hightech.com,[ALARM:1455]HOST_5XXdc690cae45a4228c54942926c8912dee
2017-11-21 09:23:37,smtp,10.64.106.9,2449,10.5.71.60,25,1184@hightech.com,1013@hightech.com,工作汇报
