,time,proto,sip,sport,dip,dport,from,to,subject
36,2017-11-24 09:25:45,smtp,10.64.106.6,2180,10.5.71.60,25,1473@hightech.com,550c46540e7d1ba2d68527f34cb30cdf@sohu.com,录用通知（接受请回复邮件确认，谢谢！）
37,2017-11-24 09:27:15,smtp,14.17.32.47,1626,10.5.71.60,25,9034169ae8837effd8162e1465fb9ead@foxmail.com,1433@hightech.com,个人简历
38,2017-11-24 09:27:17,smtp,10.64.106.12,1967,10.5.71.60,25,1104@hightech.com,f5cc0854c70f48c8e0cf09e3eb746a85@sohu.com,面试通知
41,2017-11-24 09:28:15,smtp,163.177.72.176,1848,10.5.71.60,25,b22b24195a34a416f06ec8222f9d1a5c@qq.com,1067@hightech.com,介绍
50,2017-11-24 09:33:56,smtp,163.177.72.176,1896,10.5.71.60,25,2df584bf4a5e2d093834978f4855b664@qq.com,1371@hightech.com,个人简历
53,2017-11-24 09:35:42,smtp,163.177.72.176,2206,10.5.71.60,25,d148c986c1466d285adc4b9d98c6ec12@qq.com,1363@hightech.com,个人简历
54,2017-11-24 09:35:45,smtp,10.64.106.29,1896,10.5.71.60,25,1433@hightech.com,d5323e809715ccf5de9e4444bd725e68@sina.com,复试通知
57,2017-11-24 09:38:28,smtp,10.64.106.7,2440,10.5.71.60,25,1378@hightech.com,1013@hightech.com;1104@hightech.com;1499@hightech.com;1371@hightech.com;1184@hightech.com;1251@hightech.com;1295@hightech.com;1312@hightech.com;1433@hightech.com;1165@hightech.com;1300@hightech.com;1473@hightech.com;1118@hightech.com;1363@hightech.com;1249@hightech.com;1110@hightech.com;1149@hightech.com,劳动合同
67,2017-11-24 09:41:49,smtp,10.64.106.32,2272,10.5.71.60,25,1371@hightech.com,1013@hightech.com;1104@hightech.com;1499@hightech.com;1184@hightech.com;1251@hightech.com;1295@hightech.com;1312@hightech.com;1433@hightech.com;1165@hightech.com;1300@hightech.com;1378@hightech.com;1473@hightech.com;1118@hightech.com;1363@hightech.com;1249@hightech.com;1110@hightech.com;1149@hightech.com,劳动合同
71,2017-11-24 09:44:20,smtp,10.64.106.13,1868,10.5.71.60,25,1300@hightech.com,98a4bee9938488c339dec22527bafff4@foxmail.com,录用通知（接受请回复邮件确认，谢谢！）
82,2017-11-24 09:47:51,smtp,10.64.106.15,1871,10.5.71.60,25,1249@hightech.com,1013@hightech.com;1104@hightech.com;1499@hightech.com;1371@hightech.com;1184@hightech.com;1251@hightech.com;1295@hightech.com;1312@hightech.com;1433@hightech.com;1165@hightech.com;1300@hightech.com;1378@hightech.com;1473@hightech.com;1118@hightech.com;1363@hightech.com;1110@hightech.com;1149@hightech.com,考勤相关
89,2017-11-24 09:52:51,smtp,10.64.106.29,1887,10.5.71.60,25,1433@hightech.com,1013@hightech.com;1104@hightech.com;1499@hightech.com;1371@hightech.com;1184@hightech.com;1251@hightech.com;1295@hightech.com;1312@hightech.com;1165@hightech.com;1300@hightech.com;1378@hightech.com;1473@hightech.com;1118@hightech.com;1363@hightech.com;1249@hightech.com;1110@hightech.com;1149@hightech.com,绩效考核
97,2017-11-24 09:54:58,smtp,10.64.106.7,2453,10.5.71.60,25,1378@hightech.com,977c50a3231ca2ed1c65fc50ea807084@foxmail.com,公司简介
100,2017-11-24 09:56:45,smtp,10.64.106.3,2031,10.5.71.60,25,1110@hightech.com,6bf991ae0376ad9767e8a82dce4bd713@sina.com,录用通知（接受请回复邮件确认，谢谢！）
112,2017-11-24 10:05:49,smtp,10.64.106.7,2438,10.5.71.60,25,1378@hightech.com,0fa9300cecebc9d15d30b9252d55ee76@sina.com,复试通知
114,2017-11-24 10:07:15,smtp,10.64.106.12,1950,10.5.71.60,25,1104@hightech.com,507a07c6ef9428c8a4415ac99e4e2831@qq.com,面试通知
122,2017-11-24 10:17:47,smtp,10.64.106.15,1867,10.5.71.60,25,1249@hightech.com,1013@hightech.com;1104@hightech.com;1499@hightech.com;1371@hightech.com;1184@hightech.com;1251@hightech.com;1295@hightech.com;1312@hightech.com;1433@hightech.com;1165@hightech.com;1300@hightech.com;1378@hightech.com;1473@hightech.com;1118@hightech.com;1363@hightech.com;1110@hightech.com;1149@hightech.com,人员档案
217,2017-11-24 10:28:48,smtp,172.217.160.101,4208,10.5.71.60,25,liliang@gmail.com,1487@hightech.com,【面试邀请函】
238,2017-11-24 10:31:34,smtp,10.64.105.41,2128,10.5.71.60,25,1477@hightech.com,7ac3a8ac48735160d865c863a0853549@sina.com,平台介绍
258,2017-11-24 10:32:50,smtp,219.142.78.230,2567,10.5.71.60,25,a8f82417fee0729b449964d119ac53c5@sina.com,1249@hightech.com,个人简历
278,2017-11-24 10:34:13,smtp,118.192.64.194,35782,10.5.71.60,25,aaabf0d39951f3e6c3e8a7911df524c2@mail7.lietou-edm.com,1125@hightech.com,【行政主管_北京】蔡思君_来自猎聘网的候选人
286,2017-11-24 10:34:36,smtp,14.17.32.47,2645,10.5.71.60,25,3d318efdaf43b0a0755d6206ea7410af@foxmail.com,1249@hightech.com,个人简历
359,2017-11-24 10:39:41,smtp,163.177.72.176,1596,10.5.71.60,25,7bf5b9042acf49d06323b50511bd5fe3@qq.com,1104@hightech.com,个人简历
365,2017-11-24 10:40:05,smtp,163.177.72.176,2530,10.5.71.60,25,9d893748226744d9a58e33ce5bc8cd14@qq.com,1251@hightech.com,个人资料
370,2017-11-24 10:40:22,smtp,219.142.78.230,2126,10.5.71.60,25,46cb75640019ace3f591b0ff45a759c8@sina.com,1473@hightech.com,简历
374,2017-11-24 10:40:41,smtp,10.64.106.5,2360,10.5.71.60,25,1165@hightech.com,27bb4c011c2889de13eeda6ff3010e0d@sohu.com,公司简介
404,2017-11-24 10:42:53,smtp,111.202.126.72,2506,10.5.71.60,25,4d2c6740cf0b17dfd0bfe47c343f6a4d@sohu.com,1363@hightech.com,简历
414,2017-11-24 10:43:15,smtp,10.64.106.8,1761,10.5.71.60,25,1312@hightech.com,10e1cfd45f66192193115d3e2276708b@foxmail.com,面试通知
417,2017-11-24 10:43:34,smtp,118.192.64.194,48274,10.5.71.60,25,aaabf0d39951f3e6c3e8a7911df524c2@mail7.lietou-edm.com,1057@hightech.com,【业务拓展经理（政府事务）_北京】初亮_来自猎聘网的候选人
436,2017-11-24 10:45:06,smtp,10.64.106.4,2346,10.5.71.60,25,1013@hightech.com,1614f32cfe5b2643a2bc657a5282c04b@qq.com,复试通知
444,2017-11-24 10:45:55,smtp,10.64.105.216,1881,10.5.71.60,25,1199@hightech.com,e3a671e3d5dc8ad93a5904043672fe04@qq.com,平台介绍
457,2017-11-24 10:46:33,smtp,111.202.126.72,2150,10.5.71.60,25,e22a4499cf8d53b0101cd8f3b8995591@sohu.com,1013@hightech.com,个人简历
475,2017-11-24 10:47:34,smtp,163.177.72.176,2057,10.5.71.60,25,7a9ffb080f7f143b4c7b68e61b2ebc8c@qq.com,1363@hightech.com,个人资料
489,2017-11-24 10:48:39,smtp,118.192.64.194,44438,10.5.71.60,25,aaabf0d39951f3e6c3e8a7911df524c2@mail7.lietou-edm.com,1119@hightech.com,【AP主管_北京】陈女士_来自猎聘网的候选人
527,2017-11-24 10:55:11,smtp,10.64.106.14,1804,10.5.71.60,25,1118@hightech.com,341277e9c4943916a107c6f276f276f5@foxmail.com,复试通知
533,2017-11-24 10:57:15,smtp,118.192.64.194,39404,10.5.71.60,25,aaabf0d39951f3e6c3e8a7911df524c2@mail7.lietou-edm.com,1096@hightech.com,【薪酬绩效主管/经理_北京】乐乐_来自猎聘网的候选人
534,2017-11-24 10:57:34,smtp,219.142.78.230,2023,10.5.71.60,25,3c052ed895f7ab5f887ab32a77127665@sina.com,1118@hightech.com,个人资料
578,2017-11-24 11:04:20,smtp,10.64.106.9,1867,10.5.71.60,25,1184@hightech.com,1013@hightech.com;1104@hightech.com;1499@hightech.com;1371@hightech.com;1251@hightech.com;1295@hightech.com;1312@hightech.com;1433@hightech.com;1165@hightech.com;1300@hightech.com;1378@hightech.com;1473@hightech.com;1118@hightech.com;1363@hightech.com;1249@hightech.com;1110@hightech.com;1149@hightech.com,劳动合同
590,2017-11-24 11:06:28,smtp,14.17.32.47,1778,10.5.71.60,25,cf4028befeb37dd81ff59d05e0eade0b@foxmail.com,1067@hightech.com,介绍
596,2017-11-24 11:07:38,smtp,10.64.106.12,1933,10.5.71.60,25,1104@hightech.com,0d9a589421065ac5f6b912a88ea2763d@qq.com,复试通知
604,2017-11-24 11:09:10,smtp,10.64.106.3,2030,10.5.71.60,25,1110@hightech.com,14c045af672718b043324217251bb241@sina.com,公司简介
659,2017-11-24 11:17:26,smtp,14.17.32.47,2101,10.5.71.60,25,b84e7f22b4c4aaae0cc2116e70a1ce70@foxmail.com,1013@hightech.com,个人资料
663,2017-11-24 11:17:56,smtp,219.142.78.230,1871,10.5.71.60,25,27a7e82978465bb79d89c5ec26e13e02@sina.com,1067@hightech.com,介绍
678,2017-11-24 11:21:24,smtp,10.64.106.11,2166,10.5.71.60,25,1149@hightech.com,1013@hightech.com;1104@hightech.com;1499@hightech.com;1371@hightech.com;1184@hightech.com;1251@hightech.com;1295@hightech.com;1312@hightech.com;1433@hightech.com;1165@hightech.com;1300@hightech.com;1378@hightech.com;1473@hightech.com;1118@hightech.com;1363@hightech.com;1249@hightech.com;1110@hightech.com,招聘信息总结
683,2017-11-24 11:22:14,smtp,163.177.72.176,2448,10.5.71.60,25,44c8d03fda4691c13a183da0bdf91a3b@qq.com,1295@hightech.com,个人资料
687,2017-11-24 11:22:39,smtp,10.1.4.17,21385,10.5.71.60,25,kaoqin@hightech.com,1167@hightech.com,考勤-请假流程
693,2017-11-24 11:23:14,smtp,10.64.106.8,1742,10.5.71.60,25,1312@hightech.com,aa4169685298a1c911ef7acc18913b3d@foxmail.com,公司简介
705,2017-11-24 11:26:39,smtp,10.64.106.42,2378,10.5.71.60,25,1251@hightech.com,eb7362f76b1aedb5e8a2478ab54ebfcb@sina.com,复试通知
710,2017-11-24 11:27:43,smtp,219.142.78.230,1593,10.5.71.60,25,99a7cd536fd736f48b96c71e08c7d4d3@sina.com,1118@hightech.com,个人简历
781,2017-11-24 11:41:04,smtp,111.202.126.72,2186,10.5.71.60,25,1003eb90197a2d37e5dfb6fbd2a366cd@sohu.com,1104@hightech.com,个人资料
785,2017-11-24 11:42:43,smtp,10.64.106.38,1822,10.5.71.60,25,1295@hightech.com,9b07f8c851c697bbf065d20eb141f61f@sohu.com,面试通知
809,2017-11-24 11:47:03,smtp,219.142.78.230,1837,10.5.71.60,25,77c235d92bf1807da94644df5f8ce082@sina.com,1499@hightech.com,个人资料
812,2017-11-24 11:47:17,smtp,10.64.106.9,1869,10.5.71.60,25,1184@hightech.com,728e27e62f63245ed4e8d1becb08f993@sohu.com,新员工必读
817,2017-11-24 11:48:16,smtp,10.64.106.10,2276,10.5.71.60,25,1499@hightech.com,e68617b04bed503f41b466dcd636aab5@foxmail.com,录用通知（接受请回复邮件确认，谢谢！）
848,2017-11-24 11:52:43,smtp,219.142.78.230,1865,10.5.71.60,25,048f4d9a173a4661717f9124fc06e967@sina.com,1295@hightech.com,个人资料
872,2017-11-24 11:57:08,smtp,10.64.106.8,1741,10.5.71.60,25,1312@hightech.com,1013@hightech.com;1104@hightech.com;1499@hightech.com;1371@hightech.com;1184@hightech.com;1251@hightech.com;1295@hightech.com;1433@hightech.com;1165@hightech.com;1300@hightech.com;1378@hightech.com;1473@hightech.com;1118@hightech.com;1363@hightech.com;1249@hightech.com;1110@hightech.com;1149@hightech.com,绩效考核
900,2017-11-24 12:00:53,smtp,111.202.126.72,1587,10.5.71.60,25,d196f349f5be187527f780ab3ff8e287@sohu.com,1300@hightech.com,个人资料
918,2017-11-24 12:04:15,smtp,219.142.78.230,1910,10.5.71.60,25,11b4818a55a59c4755da96b05cfef98a@sina.com,1300@hightech.com,个人资料
920,2017-11-24 12:04:36,smtp,111.202.126.72,1936,10.5.71.60,25,2aa2c7f2a14100df56f0ac89c5b5d29e@sohu.com,1104@hightech.com,个人简历
922,2017-11-24 12:04:48,smtp,10.64.106.8,1741,10.5.71.60,25,1312@hightech.com,394e9a5f46f24ba4671af87899589ebd@sina.com,新员工必读
950,2017-11-24 12:07:53,smtp,10.64.106.11,2160,10.5.71.60,25,1149@hightech.com,1013@hightech.com;1104@hightech.com;1499@hightech.com;1371@hightech.com;1184@hightech.com;1251@hightech.com;1295@hightech.com;1312@hightech.com;1433@hightech.com;1165@hightech.com;1300@hightech.com;1378@hightech.com;1473@hightech.com;1118@hightech.com;1363@hightech.com;1249@hightech.com;1110@hightech.com,人员档案
965,2017-11-24 12:10:16,smtp,10.64.106.32,2228,10.5.71.60,25,1371@hightech.com,1013@hightech.com;1104@hightech.com;1499@hightech.com;1184@hightech.com;1251@hightech.com;1295@hightech.com;1312@hightech.com;1433@hightech.com;1165@hightech.com;1300@hightech.com;1378@hightech.com;1473@hightech.com;1118@hightech.com;1363@hightech.com;1249@hightech.com;1110@hightech.com;1149@hightech.com,绩效考核
971,2017-11-24 12:11:26,smtp,219.142.78.230,2223,10.5.71.60,25,f4f8a846f28b414491b05ee509d2c27a@sina.com,1295@hightech.com,个人资料
1004,2017-11-24 12:16:30,smtp,10.64.106.9,1868,10.5.71.60,25,1184@hightech.com,cd5941d5e6683f10c67ad093bbf11570@qq.com,录用通知（接受请回复邮件确认，谢谢！）
1007,2017-11-24 12:16:36,smtp,118.192.64.194,58517,10.5.71.60,25,aaabf0d39951f3e6c3e8a7911df524c2@mail7.lietou-edm.com,1096@hightech.com,【市场运营专员_北京】苗语嫣_来自猎聘网的候选人
1009,2017-11-24 12:16:42,smtp,111.202.126.72,2312,10.5.71.60,25,e5e137571294936a37abfdc45aa19fb4@sohu.com,1165@hightech.com,简历
1014,2017-11-24 12:17:17,smtp,172.217.160.101,4177,10.5.71.60,25,lucy@gmail.com,1376@hightech.com,【电话面试邀请函】
1017,2017-11-24 12:18:26,smtp,10.64.106.15,1866,10.5.71.60,25,1249@hightech.com,ab9fbdc0121d4b087a73f2d85f5e85bc@foxmail.com,复试通知
1035,2017-11-24 12:21:52,smtp,219.142.78.230,2105,10.5.71.60,25,9abf32a2d3e458aae5ca82d81c3bf7ff@sina.com,1013@hightech.com,个人资料
1044,2017-11-24 12:23:26,smtp,10.64.106.12,1931,10.5.71.60,25,1104@hightech.com,97746f1d209e473d1683385363c03a1e@sina.com,新员工必读
1049,2017-11-24 12:23:59,smtp,111.202.126.72,1569,10.5.71.60,25,6502d6507462cecff9c650281cce924e@sohu.com,1363@hightech.com,个人简历
1073,2017-11-24 12:27:47,smtp,14.17.32.47,2501,10.5.71.60,25,27bc309f52b94283461bcfbc76c36bcf@foxmail.com,1251@hightech.com,个人简历
1077,2017-11-24 12:28:15,smtp,163.177.72.176,2124,10.5.71.60,25,ec0103ae9d1dbde203e259cef560b354@qq.com,1149@hightech.com,简历
1112,2017-11-24 13:54:16,smtp,14.17.32.47,3025,10.5.71.60,25,c07158ed911ffa92f608a209ea7787ee@foxmail.com,1251@hightech.com,个人简历
1121,2017-11-24 13:57:24,smtp,10.64.106.5,3273,10.5.71.60,25,1165@hightech.com,b1f0f3e3da3a4d88d790bd1a2dfa2aed@sina.com,复试通知
1123,2017-11-24 13:59:22,smtp,111.202.126.72,2906,10.5.71.60,25,9220f70c19497cd724edc6e03e49460b@sohu.com,1251@hightech.com,简历
1135,2017-11-24 14:03:11,smtp,118.192.64.194,38119,10.5.71.60,25,aaabf0d39951f3e6c3e8a7911df524c2@mail7.lietou-edm.com,1101@hightech.com,【能源行业销售_南京】夏苏北_来自猎聘网的候选人
1147,2017-11-24 14:06:37,smtp,10.1.4.17,16929,10.5.71.60,25,kaoqin@hightech.com,1480@hightech.com,考勤-请假流程
1193,2017-11-24 14:26:05,smtp,10.64.105.201,2328,10.5.71.60,25,1319@hightech.com,50e167b54f1ccc6cb76ef178490bbdd5@foxmail.com,关于平台的一些介绍
1200,2017-11-24 14:29:48,smtp,14.17.32.47,3257,10.5.71.60,25,e0ffab34b936c02697705273aba9ae7c@foxmail.com,1300@hightech.com,个人简历
1233,2017-11-24 14:43:48,smtp,10.64.105.84,2662,10.5.71.60,25,1436@hightech.com,90354818545bb86b043e9782c1b5b4df@qq.com,平台介绍
1234,2017-11-24 14:43:51,smtp,111.202.126.72,3086,10.5.71.60,25,5acf4655cf74bf828008bf6f07eb85ab@sohu.com,1363@hightech.com,简历
1244,2017-11-24 14:49:07,smtp,111.202.126.72,2501,10.5.71.60,25,b120eae59f4ced6c51ae391d2a504e08@sohu.com,1249@hightech.com,简历
1261,2017-11-24 14:56:52,smtp,10.64.106.43,2963,10.5.71.60,25,1363@hightech.com,397dfd165e5a71d78f5fe20ffa467005@sina.com,公司简介
1276,2017-11-24 15:01:13,smtp,163.177.72.176,2386,10.5.71.60,25,450dee9fa2c4970fa9557394c96a8226@qq.com,1371@hightech.com,简历
1283,2017-11-24 15:04:44,smtp,10.64.106.3,3071,10.5.71.60,25,1110@hightech.com,b778201e6f6069c067b3c056e10ec45c@sina.com,录用通知（接受请回复邮件确认，谢谢！）
1299,2017-11-24 15:14:10,smtp,10.64.106.9,2888,10.5.71.60,25,1184@hightech.com,3befef720dd1b7f87a075f8c981885f8@foxmail.com,面试通知
1326,2017-11-24 15:25:49,smtp,118.192.64.194,41956,10.5.71.60,25,aaabf0d39951f3e6c3e8a7911df524c2@mail7.lietou-edm.com,1155@hightech.com,【政府事务经理_北京】杨振东_来自猎聘网的候选人
1347,2017-11-24 15:31:40,smtp,118.192.64.194,38761,10.5.71.60,25,aaabf0d39951f3e6c3e8a7911df524c2@mail7.lietou-edm.com,1224@hightech.com,【销售经理/总监_长沙】王坤_来自猎聘网的候选人
1350,2017-11-24 15:33:52,smtp,118.192.64.194,36991,10.5.71.60,25,aaabf0d39951f3e6c3e8a7911df524c2@mail7.lietou-edm.com,1207@hightech.com,【销售经理/总监_西安】庄妍_来自猎聘网的候选人
1357,2017-11-24 15:36:18,smtp,163.177.72.176,2587,10.5.71.60,25,4846d66f2ee9c62a7e1706401e56ea47@qq.com,1371@hightech.com,个人资料
1363,2017-11-24 15:38:09,smtp,10.64.105.28,3306,10.5.71.60,25,1340@hightech.com,d894deaa52ba7ffa270bc805f1d03ee8@sohu.com,平台介绍
1382,2017-11-24 15:47:21,smtp,14.17.32.47,3097,10.5.71.60,25,26703583769c87b12e643e639c077dda@foxmail.com,1013@hightech.com,简历
1385,2017-11-24 15:47:55,smtp,14.17.32.47,3356,10.5.71.60,25,0a6707993c72b3950a2cd51671fd603e@foxmail.com,1249@hightech.com,简历
