time,proto,sip,sport,dip,dport,from,to,subject
2017-11-13 03:00:00,smtp,10.1.4.17,49211,10.5.71.60,25,fuli@hightech.com,1319@hightech.com,生日快乐！！！送京东卡福利
2017-11-13 09:20:27,smtp,10.64.106.30,1895,10.5.71.60,25,1137@hightech.com,1041@hightech.com,工作汇报
2017-11-13 09:21:10,smtp,10.116.216.73,2158,10.5.71.60,25,smail@hightech.com,1060@hightech.com;1098@hightech.com;1100@hightech.com;1154@hightech.com;1191@hightech.com;1207@hightech.com;1209@hightech.com,安全邮件崩溃
2017-11-13 09:21:34,smtp,10.116.216.71,1520,10.5.71.60,25,work@hightech.com,1092@hightech.com,[RECOVER:652]HOST_5XX7cd1ed559d03585fec5560aa8504dc8d
2017-11-13 09:22:03,smtp,10.64.106.43,1663,10.5.71.60,25,1363@hightech.com,1013@hightech.com;1104@hightech.com;1499@hightech.com;1371@hightech.com;1184@hightech.com;1251@hightech.com;1295@hightech.com;1312@hightech.com;1433@hightech.com;1165@hightech.com;1300@hightech.com;1378@hightech.com;1473@hightech.com;1118@hightech.com;1249@hightech.com;1110@hightech.com;1149@hightech.com,考勤相关
2017-11-13 09:22:31,smtp,10.116.216.71,1704,10.5.71.60,25,work@hightech.com,1087@hightech.com,[RECOVER:36]HOST_5XX0390e395623c8ada328c0e6e212b0158
2017-11-13 09:22:52,smtp,10.116.216.71,1794,10.5.71.60,25,work@hightech.com,1087@hightech.com,[ALARM:76]HOST_5XXbd7c3e88bad2d9e01d545940448d1783
2017-11-13 09:23:00,smtp,10.116.216.71,2221,10.5.71.60,25,work@hightech.com,1092@hightech.com,[ALARM:968]HOST_5XX4943c96bfaaf9c36e57d30304e41b2e1
2017-11-13 09:23:30,smtp,10.116.216.71,2209,10.5.71.60,25,work@hightech.com,1087@hightech.com,[RECOVER:897]HOST_5XXc18b75b5e183bb5a9cf19824fec536f7
2017-11-13 09:23:47,smtp,10.64.105.243,2231,10.5.71.60,25,1369@hightech.com,1041@hightech.com;1368@hightech.com;1347@hightech.com;1255@hightech.com;1248@hightech.com;1327@hightech.com;1439@hightech.com;1137@hightech.com;1370@hightech.com;1467@hightech.com;1226@hightech.com;1186@hightech.com;1213@hightech.com;1451@hightech.com;1124@hightech.com;1431@hightech.com;1293@hightech.com;1253@hightech.com;1342@hightech.com;1498@hightech.com;1108@hightech.com;1180@hightech.com;1346@hightech.com,成本控制
